Fila,Nombre,Tipo,Coordenadas
720,Centro Integral Saludable,UBICACION_COMPARTIDA,"-32.49002, -58.22854"
734,Jardín Materno Infantil Pintitas de Colores,UBICACION_COMPARTIDA,"-32.49002, -58.22854"
349,AILA - Estética by Ailen Lagneau,UBICACION_COMPARTIDA,"-32.48966, -58.23038"
385,Dr Daniel Romero Cardiología,UBICACION_COMPARTIDA,"-32.48967, -58.23052"
595,Marianela Vega - Nutricionista,UBICACION_COMPARTIDA,"-32.4896, -58.23033"
895,Farmacia Flores,UBICACION_COMPARTIDA,"-32.48972, -58.2305"
305,Laboratorio Uruguay,UBICACION_COMPARTIDA,"-32.48886, -58.24942"
307,Analítica Servicios Bioquímicos,UBICACION_COMPARTIDA,"-32.48884, -58.24949"
863,Fletes Martin,UBICACION_COMPARTIDA,"-32.48876, -58.24107"
1264,Electrón electricistas,UBICACION_COMPARTIDA,"-32.4889425, -58.2412132"
680,Monti Negocios Inmobiliarios,UBICACION_COMPARTIDA,"-32.48903, -58.23215"
681,Defazy Propiedades,UBICACION_COMPARTIDA,"-32.48903, -58.23215"
150,Supermercado Gran Rex (sucursal J. D. Perón),UBICACION_COMPARTIDA,"-32.4892, -58.23031"
527,Instituto 'Martín Fierro',UBICACION_COMPARTIDA,"-32.48898, -58.23032"
858,Celinski Hnos. S.C.C.,UBICACION_COMPARTIDA,"-32.48921, -58.23065"
1322,Quito Gas,UBICACION_COMPARTIDA,"-32.4892058, -58.2306475"
330,Chipper Fitness Club,UBICACION_COMPARTIDA,"-32.48891, -58.22943"
1170,Antonieta Lashes,UBICACION_COMPARTIDA,"-32.4889775, -58.2295292"
272,Parrilla El Monumento,UBICACION_COMPARTIDA,"-32.48872, -58.25929"
1011,Parrilla El Monumento,UBICACION_COMPARTIDA,"-32.48872, -58.25929"
278,Pizzería Me Gusta: a la piedra,UBICACION_COMPARTIDA,"-32.48849, -58.2495"
1019,Pizzería Me Gusta: a la piedra,UBICACION_COMPARTIDA,"-32.48849, -58.2495"
236,Mi Viejo,UBICACION_COMPARTIDA,"-32.48831, -58.24246"
1265,Electricidad y pinturas del automóvil LEO,UBICACION_COMPARTIDA,"-32.4885909, -58.2426344"
116,TAO Remises,UBICACION_COMPARTIDA,"-32.48855, -58.24218"
149,Supermercados DIA,UBICACION_COMPARTIDA,"-32.48851, -58.24177"
152,Supermercado Mayorista El Rey,UBICACION_COMPARTIDA,"-32.48832, -58.24178"
832,Academia Jazz Live,UBICACION_COMPARTIDA,"-32.48833, -58.24178"
849,Boomerangcdelu Salón de Fiestas,UBICACION_COMPARTIDA,"-32.4883, -58.24225"
86,Escribania Lacava,UBICACION_COMPARTIDA,"-32.4885484, -58.2341085"
485,Escribania Lacava,UBICACION_COMPARTIDA,"-32.48859, -58.23422"
3,Materiales Concepcion,UBICACION_COMPARTIDA,"-32.488081, -58.27393"
811,Materiales Concepción,UBICACION_COMPARTIDA,"-32.48808, -58.27393"
254,Pastas Diaz Velez,UBICACION_COMPARTIDA,"-32.48815, -58.251"
1351,TIRES Esmeralda,UBICACION_COMPARTIDA,"-32.4878636, -58.2509851"
158,Heladería Italia,UBICACION_COMPARTIDA,"-32.48779, -58.25028"
321,Ferrolatina,UBICACION_COMPARTIDA,"-32.48814, -58.25073"
325,show sport gym,UBICACION_COMPARTIDA,"-32.48809, -58.2503"
421,Uruguay Muebles,UBICACION_COMPARTIDA,"-32.48809, -58.25065"
1433,Baterías Tomba Hnos,UBICACION_COMPARTIDA,"-32.4878102, -58.2505163"
26,Gestionar | Estudio Contable y Consultoria,UBICACION_COMPARTIDA,"-32.4880691, -58.2501338"
867,Kundalini Tur,UBICACION_COMPARTIDA,"-32.48807, -58.25015"
40,INMOBILIARIA FERNAN GALOTTO,UBICACION_COMPARTIDA,"-32.4877779, -58.2489307"
783,Frenos El Negro - Embragues y Repuestos,UBICACION_COMPARTIDA,"-32.48783, -58.24917"
1436,Todo Tren Delantero,UBICACION_COMPARTIDA,"-32.4878289, -58.249088"
288,Farmacia San Martín,UBICACION_COMPARTIDA,"-32.48779, -58.24521"
1367,La Casa del Paragolpe,UBICACION_COMPARTIDA,"-32.4881279, -58.2447949"
1534,Sol de Acuario RedGFU,UBICACION_COMPARTIDA,"-32.487873, -58.23956"
1544,Almeida Jiu Jitsu - Concepción del Uruguay,UBICACION_COMPARTIDA,"-32.487876, -58.239551"
146,Western Union,UBICACION_COMPARTIDA,"-32.48781, -58.23779"
252,Veneciana,UBICACION_COMPARTIDA,"-32.4881, -58.23821"
