Valor normalizado,Cantidad de lugares,Variantes encontradas,Cantidad de variantes distintas
alojamiento,32,alojamiento,1
belleza,99,belleza,1
comercios,93,comercios,1
compras,265,compras,1
deporte,115,deporte,1
educacion,34,educacion,1
finanzas,104,finanzas,1
gastronomia,302,gastronomia,1
mascotas,17,mascotas,1
naturaleza,27,naturaleza,1
oficios_tecnicos,83,oficios_tecnicos,1
patrimonio,37,patrimonio,1
salud,177,salud,1
servicios_publicos,22,servicios_publicos,1
transporte,177,transporte,1
